,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
123,Le Havre,49.4938975,0.1079732,1720731600,moderate rain,12.34,90,6.13,8.3,100,21
124,Le Havre,49.4938975,0.1079732,1720742400,heavy intensity rain,11.81,92,5.4,15.13,100,21
125,Le Havre,49.4938975,0.1079732,1720753200,moderate rain,12.04,89,4.0,5.09,100,21
126,Le Havre,49.4938975,0.1079732,1720764000,overcast clouds,13.23,83,4.04,0.0,100,21
127,Le Havre,49.4938975,0.1079732,1720774800,light rain,13.96,81,2.98,0.24,100,21
128,Le Havre,49.4938975,0.1079732,1720785600,light rain,15.13,76,2.98,0.14,100,21
129,Le Havre,49.4938975,0.1079732,1720796400,light rain,15.96,81,4.98,0.3,93,21
130,Le Havre,49.4938975,0.1079732,1720807200,light rain,15.72,83,5.58,0.24,86,21
131,Le Havre,49.4938975,0.1079732,1720818000,light rain,14.46,88,4.0,0.51,85,21
132,Le Havre,49.4938975,0.1079732,1720828800,overcast clouds,14.42,85,1.89,0.0,93,21
133,Le Havre,49.4938975,0.1079732,1720839600,light rain,14.21,85,1.48,0.69,100,21
134,Le Havre,49.4938975,0.1079732,1720850400,light rain,14.18,85,1.08,0.41,80,21
135,Le Havre,49.4938975,0.1079732,1720861200,light rain,15.02,82,1.83,1.32,73,21
136,Le Havre,49.4938975,0.1079732,1720872000,light rain,16.18,72,2.87,0.31,50,21
137,Le Havre,49.4938975,0.1079732,1720882800,broken clouds,16.62,71,3.78,0.0,62,21
138,Le Havre,49.4938975,0.1079732,1720893600,scattered clouds,16.41,71,3.73,0.0,41,21
139,Le Havre,49.4938975,0.1079732,1720904400,clear sky,14.7,74,2.28,0.0,0,21
140,Le Havre,49.4938975,0.1079732,1720915200,clear sky,13.64,77,2.42,0.0,0,21
141,Le Havre,49.4938975,0.1079732,1720926000,clear sky,12.94,81,2.01,0.0,5,21
142,Le Havre,49.4938975,0.1079732,1720936800,few clouds,13.56,81,2.21,0.0,15,21
143,Le Havre,49.4938975,0.1079732,1720947600,overcast clouds,15.62,74,1.19,0.0,92,21
144,Le Havre,49.4938975,0.1079732,1720958400,overcast clouds,16.24,73,1.67,0.0,96,21
145,Le Havre,49.4938975,0.1079732,1720969200,broken clouds,17.76,67,1.89,0.0,51,21
146,Le Havre,49.4938975,0.1079732,1720980000,scattered clouds,17.43,73,3.34,0.0,26,21
147,Le Havre,49.4938975,0.1079732,1720990800,clear sky,16.79,78,4.03,0.0,0,21
148,Le Havre,49.4938975,0.1079732,1721001600,clear sky,16.18,78,4.3,0.0,0,21
149,Le Havre,49.4938975,0.1079732,1721012400,broken clouds,15.43,78,4.75,0.0,67,21
150,Le Havre,49.4938975,0.1079732,1721023200,broken clouds,15.67,76,4.32,0.0,84,21
151,Le Havre,49.4938975,0.1079732,1721034000,overcast clouds,17.1,80,4.84,0.0,100,21
152,Le Havre,49.4938975,0.1079732,1721044800,light rain,15.85,93,0.41,1.98,100,21
153,Le Havre,49.4938975,0.1079732,1721055600,light rain,16.07,93,3.0,2.59,100,21
154,Le Havre,49.4938975,0.1079732,1721066400,light rain,16.46,88,4.45,2.72,100,21
155,Le Havre,49.4938975,0.1079732,1721077200,light rain,16.65,89,4.85,0.33,43,21
156,Le Havre,49.4938975,0.1079732,1721088000,light rain,15.94,88,6.06,0.38,29,21
157,Le Havre,49.4938975,0.1079732,1721098800,scattered clouds,15.43,91,5.62,0.0,40,21
158,Le Havre,49.4938975,0.1079732,1721109600,broken clouds,15.04,93,6.03,0.0,71,21
159,Le Havre,49.4938975,0.1079732,1721120400,broken clouds,16.75,81,5.77,0.0,82,21
160,Rouen,49.4404591,1.0939658,1720699200,scattered clouds,20.04,60,1.14,0.0,40,29
161,Rouen,49.4404591,1.0939658,1720710000,scattered clouds,20.98,56,1.37,0.0,40,29
162,Rouen,49.4404591,1.0939658,1720720800,broken clouds,18.53,67,5.51,0.0,59,29
163,Rouen,49.4404591,1.0939658,1720731600,light rain,13.92,82,4.99,0.46,99,29
164,Rouen,49.4404591,1.0939658,1720742400,moderate rain,10.91,94,4.72,6.38,98,29
165,Rouen,49.4404591,1.0939658,1720753200,heavy intensity rain,11.3,97,5.44,26.16,100,29
166,Rouen,49.4404591,1.0939658,1720764000,light rain,13.11,97,4.0,2.82,100,29
167,Rouen,49.4404591,1.0939658,1720774800,light rain,13.99,95,2.49,0.31,100,29
168,Rouen,49.4404591,1.0939658,1720785600,light rain,14.75,94,3.33,0.7,100,29
169,Rouen,49.4404591,1.0939658,1720796400,light rain,16.51,84,3.92,0.45,90,29
170,Rouen,49.4404591,1.0939658,1720807200,light rain,15.72,87,3.63,1.3,75,29
171,Rouen,49.4404591,1.0939658,1720818000,light rain,13.21,95,1.91,0.38,81,29
172,Rouen,49.4404591,1.0939658,1720828800,light rain,11.91,95,1.64,0.12,87,29
173,Rouen,49.4404591,1.0939658,1720839600,overcast clouds,12.6,93,0.78,0.0,92,29
174,Rouen,49.4404591,1.0939658,1720850400,overcast clouds,13.23,92,0.11,0.0,98,29
175,Rouen,49.4404591,1.0939658,1720861200,light rain,15.27,83,1.39,0.16,86,29
176,Rouen,49.4404591,1.0939658,1720872000,light rain,18.95,68,1.14,1.34,63,29
177,Rouen,49.4404591,1.0939658,1720882800,light rain,18.8,71,1.62,1.9,86,29
178,Rouen,49.4404591,1.0939658,1720893600,light rain,18.03,79,1.71,1.13,60,29
179,Rouen,49.4404591,1.0939658,1720904400,light rain,12.43,89,2.18,0.52,6,29
180,Rouen,49.4404591,1.0939658,1720915200,clear sky,11.08,90,1.83,0.0,3,29
181,Rouen,49.4404591,1.0939658,1720926000,few clouds,10.3,90,1.07,0.0,23,29
182,Rouen,49.4404591,1.0939658,1720936800,few clouds,12.95,88,0.64,0.0,15,29
183,Rouen,49.4404591,1.0939658,1720947600,broken clouds,17.93,76,0.63,0.0,81,29
184,Rouen,49.4404591,1.0939658,1720958400,overcast clouds,18.85,69,1.43,0.0,90,29
185,Rouen,49.4404591,1.0939658,1720969200,overcast clouds,19.73,65,0.86,0.0,94,29
186,Rouen,49.4404591,1.0939658,1720980000,broken clouds,20.37,65,1.14,0.0,55,29
187,Rouen,49.4404591,1.0939658,1720990800,clear sky,14.85,76,1.79,0.0,0,29
188,Rouen,49.4404591,1.0939658,1721001600,clear sky,13.4,84,1.75,0.0,0,29
189,Rouen,49.4404591,1.0939658,1721012400,broken clouds,12.73,83,1.83,0.0,72,29
190,Rouen,49.4404591,1.0939658,1721023200,overcast clouds,15.15,85,2.23,0.0,85,29
191,Rouen,49.4404591,1.0939658,1721034000,overcast clouds,19.66,72,2.05,0.0,100,29
192,Rouen,49.4404591,1.0939658,1721044800,light rain,19.22,77,2.33,0.2,100,29
193,Rouen,49.4404591,1.0939658,1721055600,light rain,15.57,97,2.85,2.93,100,29
194,Rouen,49.4404591,1.0939658,1721066400,light rain,16.05,95,2.43,2.35,100,29
195,Rouen,49.4404591,1.0939658,1721077200,broken clouds,13.37,97,2.2,0.0,52,29
196,Rouen,49.4404591,1.0939658,1721088000,scattered clouds,12.97,97,2.63,0.0,30,29
197,Rouen,49.4404591,1.0939658,1721098800,few clouds,12.42,97,2.65,0.0,22,29
198,Rouen,49.4404591,1.0939658,1721109600,scattered clouds,13.76,97,3.48,0.0,47,29
199,Rouen,49.4404591,1.0939658,1721120400,overcast clouds,15.92,87,4.57,0.0,100,29
200,Paris,48.8588897,2.3200410217200766,1720699200,broken clouds,23.22,48,1.17,0.0,63,28
201,Paris,48.8588897,2.3200410217200766,1720710000,overcast clouds,23.66,46,1.08,0.0,90,28
202,Paris,48.8588897,2.3200410217200766,1720720800,light rain,23.06,54,3.11,0.19,100,28
